depth	min	max	median	mean
213	8070	8898	8385	8414
214	8093	9188	8487	8531
215	8113	9482	8589	8648
216	8274	9583	8766	8819
217	8368	9701	8970	8990
218	8441	9838	9176	9161
219	8495	10042	9376	9332
220	8548	10301	9551	9503
221	8873	10347	9705	9669
222	9165	10395	9867	9834
223	9396	10441	10030	9999
224	9528	10520	10195	10164
225	9641	10668	10358	10330
