depth	min	max	median	mean
124	2674	3617	3183	3172
125	2688	3725	3214	3214
126	2763	3773	3289	3285
127	2821	3823	3365	3355
128	2844	3893	3440	3426
129	2880	3992	3513	3496
130	2917	4120	3581	3567
131	3014	4156	3651	3636
132	3127	4188	3716	3705
133	3205	4242	3788	3774
134	3268	4311	3859	3843
135	3318	4408	3927	3912
136	3476	4433	3993	3987
137	3624	4466	4064	4063
138	3744	4506	4142	4138
139	3848	4566	4217	4213
140	3912	4663	4297	4288
141	4069	4705	4368	4367
142	4174	4757	4446	4445
143	4225	4820	4527	4523
144	4267	4949	4601	4602
145	4307	5118	4670	4680
146	4390	5147	4735	4745
147	4442	5184	4809	4809
148	4479	5230	4881	4874
149	4511	5292	4955	4938
150	4528	5378	5019	5002
151	4669	5399	5077	5065
152	4797	5417	5144	5127
153	4871	5447	5207	5189
154	4937	5488	5274	5251
155	4985	5545	5338	5314
156	5042	5579	5381	5358
157	5089	5624	5425	5403
158	5118	5686	5463	5448
159	5143	5772	5501	5492
160	5166	5865	5541	5537
161	5245	5896	5583	5580
162	5305	5924	5627	5624
163	5356	5962	5671	5667
164	5392	6009	5714	5710
165	5415	6068	5755	5754
166	5498	6087	5797	5796
167	5566	6112	5838	5838
168	5617	6141	5877	5879
169	5655	6182	5917	5921
170	5690	6228	5958	5963
171	5782	6287	6030	6039
172	5828	6398	6113	6114
173	5863	6538	6181	6190
174	5896	6709	6250	6265
175	5916	6887	6316	6341
176	6023	6929	6410	6428
177	6082	6974	6506	6515
178	6136	7033	6607	6603
179	6178	7123	6703	6690
180	6219	7238	6793	6777
181	6394	7263	6875	6862
182	6563	7288	6954	6946
183	6716	7314	7040	7030
184	6821	7348	7129	7115
185	6894	7413	7217	7199
186	6950	7435	7256	7236
187	6996	7469	7295	7274
188	7033	7520	7329	7312
189	7057	7585	7362	7349
190	7080	7653	7395	7387
191	7133	7670	7427	7421
192	7179	7687	7460	7454
193	7224	7716	7495	7488
194	7251	7751	7530	7522
195	7277	7795	7562	7555
196	7352	7812	7591	7588
197	7421	7824	7621	7621
198	7484	7850	7652	7655
199	7527	7876	7684	7688
200	7557	7908	7718	7721
201	7607	7930	7751	7755
202	7632	7958	7788	7789
203	7649	8000	7824	7824
204	7670	8057	7856	7858
205	7685	8130	7888	7892
206	7739	8153	7917	7925
207	7779	8183	7950	7959
208	7808	8219	7984	7992
209	7834	8256	8019	8025
210	7851	8303	8051	8058
211	7991	8416	8172	8183
212	8037	8666	8286	8307
213	8071	8978	8394	8432
214	8095	9308	8502	8556
215	8114	9651	8608	8681
216	8274	9714	8784	8842
217	8355	9799	8970	9004
218	8435	9894	9159	9166
219	8488	10067	9341	9327
220	8532	10309	9509	9489
221	8855	10342	9673	9655
222	9150	10382	9842	9822
223	9385	10426	10015	9989
224	9528	10497	10184	10156
225	9636	10640	10352	10323
