depth	min95%	max95%	best	accrate
110	255	464	367	3.45
111	259	468	370	3.46
112	262	471	373	3.48
113	266	474	377	3.5
114	270	477	380	3.52
115	274	479	384	3.54
116	278	482	387	3.56
117	282	484	391	3.58
118	285	487	395	3.6
119	289	490	398	3.63
120	292	494	402	3.65
121	296	498	406	3.68
122	300	501	409	3.7
123	304	505	413	3.73
124	308	508	417	3.75
125	312	511	420	3.78
126	316	514	424	3.81
127	320	516	428	3.83
128	324	520	432	3.86
129	328	523	436	3.89
130	332	527	440	3.92
131	335	531	443	3.95
132	340	535	447	3.98
133	343	539	451	4.02
134	348	542	455	4.05
135	351	546	459	4.08
136	355	549	464	4.11
137	359	553	468	4.15
138	363	556	472	4.18
139	367	559	476	4.21
140	371	563	480	4.24
141	375	567	484	4.28
142	380	572	489	4.31
143	384	576	493	4.34
144	389	580	497	4.37
145	393	585	502	4.4
146	396	590	506	4.43
147	401	595	511	4.46
148	405	600	515	4.49
149	409	603	520	4.52
150	413	607	524	4.55
151	417	611	529	4.58
152	421	616	533	4.61
153	426	621	538	4.64
154	430	625	542	4.66
155	434	630	547	4.69
156	438	635	552	4.72
157	442	641	556	4.75
158	446	646	561	4.77
159	450	652	566	4.8
160	454	657	571	4.83
161	458	662	576	4.85
162	463	668	580	4.88
163	468	673	585	4.9
164	473	678	590	4.93
165	478	684	595	4.96
166	483	690	600	4.98
167	487	696	605	5
168	492	701	610	5.03
169	497	708	615	5.05
170	502	714	620	5.08
171	507	720	625	5.1
172	512	726	630	5.12
173	516	731	636	5.15
174	520	737	641	5.17
175	524	743	646	5.19
176	528	749	651	5.21
177	533	754	656	5.24
178	538	761	661	5.26
179	543	767	667	5.28
180	548	773	672	5.3
181	553	779	677	5.32
182	558	785	683	5.34
183	563	791	688	5.36
184	567	797	693	5.38
185	573	803	699	5.4
186	578	809	704	5.42
187	583	815	710	5.44
188	588	821	715	5.46
189	594	827	720	5.48
190	599	833	726	5.5
191	605	839	731	5.52
192	609	845	737	5.53
193	614	851	742	5.55
194	619	857	748	5.57
195	625	863	754	5.59
196	630	868	759	5.6
197	636	874	765	5.62
198	642	881	770	5.63
199	647	887	776	5.65
200	653	893	782	5.67
201	659	899	787	5.68
202	664	905	793	5.7
203	670	911	799	5.71
204	676	917	804	5.73
205	682	923	810	5.74
206	687	929	816	5.75
207	691	936	822	5.77
208	696	941	827	5.78
209	702	947	833	5.8
210	707	953	839	5.81
211	712	959	845	5.82
212	718	966	851	5.83
213	724	972	856	5.85
214	729	978	862	5.86
215	734	984	868	5.87
216	738	990	874	5.88
217	742	996	880	5.89
218	747	1002	886	5.9
219	752	1007	892	5.91
220	758	1013	898	5.92
221	763	1019	904	5.93
222	767	1025	909	5.94
223	773	1031	915	5.95
224	778	1037	921	5.96
225	785	1043	927	5.97
226	791	1050	933	5.98
227	798	1056	939	5.99
228	805	1062	945	6
229	811	1068	951	6
230	816	1074	957	6.01
231	822	1080	963	6.02
232	828	1086	969	6.03
233	834	1092	975	6.03
234	840	1099	981	6.04
235	845	1106	987	6.05
236	852	1112	993	6.05
237	858	1119	1000	6.06
238	865	1125	1006	6.06
239	871	1131	1012	6.07
240	878	1138	1018	6.07
241	885	1144	1024	6.08
242	891	1150	1030	6.08
243	898	1157	1036	6.09
244	904	1163	1042	6.09
245	910	1169	1048	6.09
246	916	1175	1054	6.1
247	923	1181	1060	6.1
248	928	1188	1066	6.1
249	934	1194	1072	6.1
250	940	1201	1079	6.11
251	946	1209	1085	6.11
252	952	1216	1091	6.11
253	958	1221	1097	6.11
254	964	1227	1103	6.11
255	970	1232	1109	6.11
256	976	1237	1115	6.11
257	982	1242	1121	6.11
258	988	1248	1127	6.11
259	996	1253	1134	6.11
260	1003	1259	1140	6.11
261	1010	1265	1146	6.11
262	1016	1272	1152	6.11
263	1023	1280	1158	6.11
264	1031	1285	1164	6.11
265	1036	1290	1170	6.11
266	1042	1296	1176	6.1
267	1049	1303	1182	6.1
268	1057	1309	1189	6.1
269	1066	1316	1195	6.1
270	1074	1323	1201	6.09
271	1082	1329	1207	6.09
272	1090	1335	1213	6.09
273	1098	1342	1219	6.08
274	1106	1348	1225	6.08
275	1114	1355	1231	6.07
276	1123	1362	1237	6.07
277	1132	1369	1243	6.06
278	1141	1376	1249	6.06
279	1147	1383	1255	6.05
280	1153	1390	1262	6.04
281	1159	1396	1268	6.04
282	1164	1402	1274	6.03
283	1170	1408	1280	6.03
284	1175	1414	1286	6.02
285	1183	1421	1292	6.01
286	1190	1428	1298	6
287	1198	1435	1304	6
288	1204	1441	1310	5.99
289	1210	1447	1316	5.98
290	1217	1453	1322	5.97
291	1224	1459	1328	5.96
292	1230	1465	1334	5.95
293	1238	1471	1340	5.94
294	1244	1476	1345	5.93
295	1250	1482	1351	5.92
296	1257	1488	1357	5.91
297	1263	1494	1363	5.9
298	1268	1501	1369	5.89
299	1271	1507	1375	5.88
300	1277	1514	1381	5.87
301	1283	1521	1387	5.86
302	1292	1528	1393	5.85
303	1294	1534	1398	5.84
304	1298	1541	1404	5.84
305	1302	1548	1410	5.83
306	1308	1555	1416	5.82
307	1313	1562	1422	5.82
308	1317	1569	1428	5.81
309	1320	1576	1433	5.81
310	1323	1583	1439	5.8
311	1324	1589	1445	5.8
312	1325	1596	1451	5.79
313	1326	1603	1457	5.79
314	1328	1611	1462	5.79
315	1332	1619	1468	5.78
316	1334	1626	1474	5.78
317	1337	1632	1480	5.78
318	1338	1638	1486	5.78
319	1342	1644	1491	5.78
320	1344	1650	1497	5.78
321	1344	1656	1503	5.78
322	1346	1662	1509	5.78
323	1348	1672	1514	5.79
324	1349	1680	1520	5.79
325	1350	1691	1526	5.79
326	1351	1701	1532	5.79
327	1351	1708	1538	5.8
328	1352	1716	1543	5.8
329	1352	1721	1549	5.81
330	1353	1725	1555	5.81
331	1353	1730	1561	5.82
332	1354	1739	1567	5.83
333	1355	1748	1573	5.83
334	1356	1755	1578	5.84
335	1357	1767	1584	5.85
336	1359	1778	1590	5.86
337	1360	1790	1596	5.87
338	1362	1802	1602	5.88
339	1364	1811	1608	5.89
340	1365	1821	1614	5.9
341	1367	1834	1619	5.91
342	1369	1848	1625	5.92
343	1370	1861	1631	5.93
344	1372	1877	1637	5.94
345	1373	1887	1643	5.96
346	1374	1902	1649	5.97
347	1376	1917	1655	5.98
348	1377	1934	1661	6
349	1379	1951	1667	6.01
350	1381	1967	1673	6.03
351	1383	1984	1679	6.05
352	1385	2003	1685	6.06
353	1387	2022	1691	6.08
354	1390	2041	1697	6.1
355	1393	2059	1703	6.12
356	1396	2079	1709	6.14
357	1399	2097	1716	6.15
358	1401	2118	1722	6.17
359	1403	2142	1728	6.19
360	1407	2164	1734	6.22
361	1409	2184	1740	6.24
362	1411	2207	1747	6.26
363	1414	2229	1753	6.28
364	1417	2252	1759	6.3
365	1421	2275	1765	6.33
366	1422	2298	1772	6.37
367	1426	2321	1778	6.43
368	1429	2345	1785	6.5
369	1431	2368	1791	6.59
370	1435	2392	1798	6.7
371	1439	2418	1804	6.82
372	1444	2446	1811	6.96
373	1449	2473	1818	7.12
374	1453	2499	1825	7.29
375	1456	2525	1833	7.48
376	1460	2552	1840	7.69
377	1464	2578	1848	7.92
378	1469	2604	1856	8.16
379	1474	2630	1864	8.41
380	1481	2656	1872	8.69
381	1488	2683	1881	8.98
382	1496	2711	1890	9.29
383	1504	2739	1899	9.61
384	1512	2768	1909	9.95
385	1521	2798	1919	10.31
386	1531	2828	1929	10.69
387	1539	2858	1940	11.08
388	1547	2889	1951	11.49
389	1555	2920	1962	11.91
390	1564	2951	1974	12.35
391	1573	2982	1987	12.81
392	1583	3014	1999	13.29
393	1594	3047	2013	13.78
394	1605	3079	2026	14.29
395	1617	3112	2041	14.81
396	1631	3145	2056	15.36
397	1647	3178	2071	15.92
398	1664	3212	2087	16.49
399	1682	3246	2103	17.08
400	1699	3281	2120	17.69
401	1715	3316	2138	18.32
402	1731	3352	2156	18.96
403	1748	3389	2175	19.62
404	1768	3426	2195	20.3
405	1786	3465	2215	20.99
406	1804	3505	2236	21.7
407	1825	3545	2258	22.43
408	1846	3585	2280	23.17
409	1866	3626	2304	23.93
410	1888	3666	2328	24.71
411	1910	3707	2352	25.5
412	1935	3748	2378	26.31
413	1961	3789	2404	27.14
414	1989	3831	2431	27.98
415	2018	3873	2459	28.84
416	2048	3916	2488	29.72
417	2079	3960	2518	30.61
418	2111	4003	2548	31.52
419	2144	4048	2580	32.45
420	2177	4093	2612	33.39
421	2207	4138	2646	34.35
422	2238	4184	2680	35.33
423	2270	4231	2715	36.33
424	2310	4278	2752	37.34
425	2343	4325	2789	38.36
426	2384	4373	2827	39.41
427	2426	4421	2867	40.47
428	2469	4470	2907	41.55
429	2507	4519	2949	42.64
430	2549	4568	2991	43.75
431	2592	4618	3035	44.88
432	2635	4669	3080	46.03
433	2675	4720	3126	47.19
434	2716	4772	3173	48.37
435	2764	4825	3222	49.56
436	2812	4879	3271	50.77
437	2855	4933	3322	52
438	2909	4988	3374	53.25
439	2957	5044	3427	54.51
440	3007	5100	3482	55.79
441	3060	5157	3538	57.08
442	3112	5215	3595	58.4
443	3165	5273	3653	59.72
444	3219	5332	3713	61.07
445	3271	5391	3774	62.42
446	3325	5451	3836	63.74
447	3377	5512	3900	65.01
448	3434	5574	3965	66.24
449	3488	5636	4031	67.42
450	3549	5700	4099	68.55
451	3614	5763	4167	69.64
452	3675	5827	4237	70.68
453	3734	5892	4308	71.68
454	3798	5957	4379	72.63
455	3864	6020	4452	73.54
456	3924	6084	4525	74.4
457	3983	6149	4600	75.21
458	4045	6214	4675	75.98
459	4111	6279	4751	76.71
460	4177	6345	4828	77.39
461	4244	6412	4905	78.02
462	4311	6477	4983	78.61
463	4379	6541	5062	79.15
464	4448	6605	5141	79.64
465	4517	6670	5220	80.09
466	4588	6734	5301	80.5
467	4658	6799	5381	80.86
468	4730	6863	5462	81.17
469	4801	6928	5543	81.44
470	4873	6994	5625	81.66
471	4945	7058	5706	81.84
472	5018	7120	5788	81.97
473	5091	7183	5870	82.05
474	5165	7245	5952	82.09
475	5241	7307	6034	82.09
476	5318	7370	6116	82.04
477	5395	7434	6198	81.94
478	5472	7498	6280	81.8
479	5550	7563	6362	81.61
480	5628	7626	6444	81.37
481	5707	7691	6525	81.09
482	5785	7753	6606	80.77
483	5864	7814	6687	80.4
484	5943	7872	6767	79.98
485	6023	7931	6847	79.53
486	6102	7993	6927	79.07
487	6181	8057	7006	78.6
488	6261	8118	7084	78.14
489	6340	8178	7163	77.68
490	6419	8238	7240	77.22
491	6498	8295	7317	76.76
492	6576	8353	7394	76.29
493	6661	8410	7471	75.83
494	6745	8466	7546	75.37
495	6826	8522	7622	74.91
496	6905	8577	7697	74.45
497	6983	8631	7771	73.99
498	7061	8686	7845	73.53
499	7138	8742	7919	73.06
500	7217	8799	7992	72.6
501	7298	8853	8064	72.14
502	7377	8907	8136	71.68
503	7455	8967	8208	71.22
504	7534	9026	8279	70.76
505	7616	9082	8350	70.3
506	7696	9138	8420	69.84
507	7776	9194	8490	69.38
508	7851	9249	8560	68.91
509	7923	9303	8628	68.45
510	7995	9358	8697	67.99
511	8070	9412	8765	67.53
512	8149	9466	8832	67.07
513	8230	9512	8900	66.61
514	8310	9561	8966	66.15
515	8390	9611	9032	65.69
516	8467	9661	9098	65.23
517	8543	9709	9163	64.77
518	8622	9756	9228	64.31
519	8699	9804	9292	63.85
520	8772	9853	9356	63.39
521	8846	9905	9420	62.93
522	8922	9965	9482	62.47
523	8995	10018	9545	62.01
524	9069	10066	9607	61.55
525	9137	10114	9668	61.09
526	9209	10158	9730	60.63
527	9279	10217	9790	60.17
528	9349	10260	9850	59.71
529	9415	10307	9910	59.25
530	9481	10355	9969	58.79
531	9552	10409	10028	58.33
532	9622	10460	10086	57.87
533	9696	10507	10144	57.41
534	9769	10553	10202	56.95
535	9841	10604	10259	56.49
536	9906	10658	10315	56.03
537	9970	10712	10371	55.57
538	10039	10758	10427	55.12
539	10106	10806	10482	54.68
540	10169	10859	10537	54.25
541	10232	10910	10591	53.83
542	10297	10961	10645	53.42
543	10362	11012	10698	53.01
544	10422	11066	10751	52.62
545	10487	11120	10804	52.24
546	10550	11169	10856	51.86
547	10608	11217	10908	51.5
548	10668	11272	10959	51.14
549	10728	11325	11010	50.8
550	10786	11376	11061	50.46
551	10841	11428	11112	50.14
552	10894	11479	11162	49.82
553	10947	11529	11212	49.51
554	11002	11575	11261	49.21
555	11055	11625	11310	48.92
556	11108	11676	11359	48.65
557	11160	11727	11408	48.38
558	11211	11779	11456	48.12
559	11262	11828	11504	47.86
560	11319	11878	11552	47.62
561	11371	11928	11600	47.37
562	11422	11977	11647	47.13
563	11476	12024	11694	46.88
564	11524	12072	11741	46.65
565	11573	12119	11788	46.41
566	11622	12165	11834	46.17
567	11669	12212	11880	45.94
568	11715	12259	11926	45.71
569	11758	12305	11972	45.48
570	11800	12351	12018	45.25
571	11846	12397	12063	45.03
572	11890	12442	12108	44.81
573	11933	12487	12153	44.59
574	11977	12532	12197	44.37
575	12016	12581	12242	44.16
576	12057	12623	12286	43.94
577	12097	12671	12330	43.73
578	12140	12719	12374	43.52
579	12178	12764	12417	43.32
580	12217	12807	12460	43.11
581	12256	12848	12503	42.91
582	12295	12889	12546	42.71
583	12334	12931	12589	42.51
584	12374	12973	12632	42.32
585	12414	13015	12674	42.13
586	12454	13058	12716	41.93
587	12493	13100	12758	41.75
588	12532	13143	12800	41.56
589	12571	13186	12841	41.37
590	12610	13227	12883	41.19
591	12649	13268	12924	41.01
592	12689	13309	12965	40.83
593	12729	13349	13006	40.66
594	12768	13390	13046	40.49
595	12808	13430	13087	40.31
596	12845	13471	13127	40.15
597	12883	13511	13167	39.98
598	12920	13552	13207	39.81
599	12959	13590	13247	39.65
600	12997	13628	13287	39.49
601	13035	13668	13326	39.33
602	13073	13708	13366	39.18
603	13111	13750	13405	39.02
604	13149	13789	13444	38.87
605	13187	13830	13483	38.72
606	13225	13869	13521	38.58
607	13263	13908	13560	38.43
608	13301	13946	13598	38.29
609	13338	13985	13637	38.15
610	13376	14023	13675	38.01
611	13415	14061	13713	37.87
612	13453	14099	13751	37.74
613	13491	14136	13788	37.61
614	13530	14175	13826	37.48
615	13568	14212	13864	37.35
616	13607	14249	13901	37.23
617	13645	14287	13938	37.1
618	13683	14327	13975	36.98
619	13723	14366	14012	36.87
620	13763	14404	14049	36.75
621	13803	14442	14086	36.63
622	13843	14474	14122	36.52
623	13883	14506	14159	36.41
624	13922	14546	14195	36.31
625	13962	14579	14232	36.2
626	14001	14623	14268	36.1
627	14039	14660	14304	36
628	14076	14699	14340	35.9
629	14114	14736	14376	35.8
630	14153	14769	14412	35.71
631	14193	14807	14447	35.62
632	14232	14847	14483	35.53
633	14271	14887	14519	35.44
634	14309	14923	14554	35.35
635	14346	14958	14589	35.27
636	14383	14993	14625	35.19
637	14420	15027	14660	35.11
638	14457	15064	14695	35.03
639	14495	15104	14730	34.96
640	14533	15143	14765	34.89
641	14571	15181	14800	34.82
642	14610	15219	14835	34.75
643	14647	15257	14869	34.68
644	14684	15295	14904	34.62
645	14722	15333	14939	34.56
646	14758	15371	14973	34.5
647	14794	15409	15008	34.44
648	14830	15447	15042	34.39
649	14865	15483	15077	34.34
650	14901	15521	15111	34.29
651	14937	15558	15145	34.24
652	14975	15596	15179	34.19
653	15012	15635	15214	34.15
654	15049	15673	15248	34.11
655	15086	15714	15282	34.07
656	15124	15754	15316	34.03
657	15162	15791	15350	34
658	15198	15827	15384	33.96
659	15234	15863	15418	33.93
660	15269	15899	15452	33.91
661	15303	15935	15486	33.88
662	15338	15972	15520	33.86
663	15373	16011	15553	33.83
664	15409	16051	15587	33.82
665	15445	16093	15621	33.8
666	15481	16132	15655	33.78
667	15517	16170	15689	33.77
668	15552	16203	15722	33.76
669	15587	16236	15756	33.75
670	15622	16270	15790	33.75
671	15657	16304	15824	33.74
672	15691	16340	15857	33.74
673	15726	16376	15891	NA
